client_id,name,age,city,risk_tolerance
1,Allison Hill,32,East Jill,Low
2,Stephanie Miller,53,Johnsonland,Low
3,Jonathan Johnson,46,Lake Debra,Low
4,Connie Lawrence,31,Port Lindachester,High
5,Christopher Bernard,29,Curtisfurt,High
6,Ryan Munoz,72,Lake Stephenville,Low
7,Jamie Arnold,21,Barbaraland,Low
8,Darren Roberts,45,Port Jesseville,Low
9,Jesse Flowers,82,West Michael,High
10,Mia Sutton,21,New Cynthiaside,High
11,Carla Gray,43,Lake Mark,High
12,Amy Underwood,71,Richardland,Low
13,Tommy Walter,75,Jasonfort,High
14,Thomas Ellis,53,Donaldside,Low
15,Nicole Patterson,38,Coxberg,High
16,Ann Williams,72,East Courtneychester,Medium
17,Janice Carlson,53,Riceside,Low
18,Alexandra Le,45,Kaylamouth,Medium
19,Jeffrey Chavez,31,Teresaburgh,Low
20,Ashley Garrett,66,East Nathaniel,Low
21,Troy Nielsen,63,New Mariotown,Medium
22,Jack Galloway,51,Johnbury,Low
23,Theresa Miller,76,Cabreraside,High
24,Betty Alvarez,33,West Allison,Medium
25,Tracey Hickman,28,Lake Larry,High
26,Marie Kim DDS,55,East Jeffreymouth,High
27,Julian Chapman,64,North Jeanton,High
28,Taylor Heath,42,New Johnfort,High
29,Carlos Walls,26,Sanchezfort,Low
30,Cheryl Davis,47,Gomezchester,Medium
31,Nicholas Nunez,28,North Richardmouth,Low
32,Ashley Lee,30,Taylorburgh,Medium
33,David Leblanc,53,Mortonside,Medium
34,Matthew Fernandez,64,North Sarabury,Low
35,John Lewis,65,Barreraburgh,Medium
36,William Baker,44,Mitchellside,High
37,Katelyn Lee,52,North Beth,High
38,Nicole Brown,27,Shawhaven,High
39,Tyler Miller,39,North Brooke,High
40,Cynthia Wilson,49,New Brooke,Low
41,Jennifer Silva,77,Sarahborough,Medium
42,Emily Baker,52,Lake Debbie,High
43,Timothy Walls,46,South Christineshire,High
44,Angel Lewis MD,59,Nicolebury,Low
45,Christopher Bass,47,Cherylhaven,Low
46,Robert Evans,58,East Josephville,Medium
47,Brittney Campbell,52,Lake Matthew,Low
48,Sarah Wagner,45,Rebeccaton,High
49,Jeff Hill,58,West Kellieview,Low
50,Jeremy Thornton,81,North Charlesberg,Medium
51,Sandra Aguilar,76,South David,Low
52,Steven Flynn,51,West Jasonbury,Low
53,Heather Castro,49,Dicksonberg,High
54,Cynthia Martin,51,South Angel,High
55,Evelyn Galvan,72,West Erik,High
56,Janet Williams,69,Walkermouth,Medium
57,Robert Savage,46,North Donna,Low
58,Donald Jones,83,Michaelhaven,Medium
59,William Herrera,29,North Natalieview,Low
60,Victor Baker,32,New Ryanmouth,Low
61,William Wilson,38,West Bradley,High
62,Joseph Drake,72,West Ryan,High
63,Tammie Hanson,26,Lake Rachelhaven,Medium
64,Jason Powell,66,Angelaborough,High
65,Todd Byrd,77,New Ashley,High
66,Roy Torres,50,South Kristi,High
67,Erica Ramos,19,New Thomas,High
68,Rebecca Jackson,32,West Zacharymouth,High
69,Trevor Young,52,Jeffreyborough,High
70,Angel Riggs,61,South Robertshire,Low
71,Michael Snyder,55,East Diana,Medium
72,Paul Carrillo,38,Port Ronaldburgh,Medium
73,Melissa Marshall,18,Port David,High
74,John Schmidt,51,Stephaniemouth,High
75,Michelle Wagner,40,Merrittfort,High
76,Paul Larsen,31,Katiehaven,High
77,Mr. Jeremiah Reeves,56,West Matthew,High
78,Angela Hernandez,82,Bensonborough,High
79,Jason Daniels,43,Brownchester,Low
80,Randy Shah,65,Port Nicoleshire,Low
81,Aaron Bell,85,Castanedachester,Low
82,Morgan Marsh,59,South Jeffrey,Medium
83,Allen Rogers,20,Ramseymouth,Low
84,Veronica Ferguson,64,Vargastown,Medium
85,Jeffrey Camacho,48,North Jorge,Low
86,Jesse Rogers,48,Ramirezchester,High
87,Bradley Smith,28,West Jeffreyland,Low
88,Marissa Webster,80,East Mary,Low
89,Cynthia Wells,34,New Staciemouth,Low
90,Pamela Jackson,78,Port Loriport,High
91,Alexander Collins,39,Sandersborough,Medium
